GEOID,sovi,rank,state_id
g06001,-0.6325618935015777,33.0,g06
g06003,-1.1324110622380896,40.0,g06
g06005,0.054257241529483316,23.0,g06
g06007,-0.011175311086288492,24.0,g06
g06009,-0.22799442909508746,30.0,g06
g06011,0.3743434996983738,20.0,g06
g06013,-0.1381466432672481,27.0,g06
g06015,2.8430158029446737,9.0,g06
g06017,-4.267482149568288,57.0,g06
g06019,1.6987533636588528,15.0,g06
g06021,2.741234974510384,10.0,g06
g06023,-1.6701275675232923,48.0,g06
g06025,3.844378089537225,5.0,g06
g06027,-0.6629368780438307,34.0,g06
g06029,2.4407951887031336,11.0,g06
g06031,5.500011464507812,1.0,g06
g06033,0.8243768051189537,18.0,g06
g06035,4.631619745304943,4.0,g06
g06037,0.2163884593243919,22.0,g06
g06039,3.831514200018566,6.0,g06
g06041,-1.4792090666045155,46.0,g06
g06043,-0.08858299401474246,26.0,g06
g06045,0.29892050259091363,21.0,g06
g06047,2.393812167498554,12.0,g06
g06049,5.1749218573413955,3.0,g06
g06051,-4.295685020893933,58.0,g06
g06053,3.285979140543235,8.0,g06
g06055,1.7300163654480731,14.0,g06
g06057,-2.7689761275559936,53.0,g06
g06059,-0.7841843406010527,35.0,g06
g06061,-4.05757381433959,56.0,g06
g06063,-0.9346881085281302,37.0,g06
g06065,-1.780002538849006,49.0,g06
g06067,-2.899573725867777,54.0,g06
g06069,-0.01624985644799981,25.0,g06
g06071,-2.584778782866631,52.0,g06
g06073,-1.565384204628249,47.0,g06
g06075,5.425293247241418,2.0,g06
g06077,-0.7921730194358738,36.0,g06
g06079,-0.26198946914853855,31.0,g06
g06081,-1.2783918968941979,44.0,g06
g06083,1.997526775811356,13.0,g06
g06085,-1.2489458278497831,43.0,g06
g06087,-0.28041669987209894,32.0,g06
g06089,-1.075077894261139,39.0,g06
g06091,-1.908222657219027,51.0,g06
g06093,-0.17318864869602624,28.0,g06
g06095,-3.7113484043499922,55.0,g06
g06097,-1.1325307843784584,41.0,g06
g06099,0.4984146001620105,19.0,g06
g06101,0.8972840222962214,17.0,g06
g06103,1.2396848624374042,16.0,g06
g06105,-1.4052232534644258,45.0,g06
g06107,3.6326396791652633,7.0,g06
g06109,-0.2021790975969978,29.0,g06
g06111,-1.2385066277004984,42.0,g06
g06113,-1.8129337309400078,50.0,g06
g06115,-0.9388162495915146,38.0,g06
g13001,0.47744027255470695,70.0,g13
g13003,0.7444911341097836,64.0,g13
g13005,0.12508826657670108,80.0,g13
g13007,0.2929105079326909,75.0,g13
g13009,0.0019306256967283886,82.0,g13
g13011,-0.017621782730856086,84.0,g13
g13013,-0.11418619977053769,88.0,g13
g13015,-3.0441965044706443,140.0,g13
g13017,1.404538776724078,37.0,g13
g13019,1.312429125320659,41.0,g13
g13021,-0.8582146352234403,104.0,g13
g13023,-0.5413036587866311,96.0,g13
g13025,-0.48169054131596173,95.0,g13
g13027,2.035694585377571,24.0,g13
g13029,-4.409649260673079,151.0,g13
g13031,-2.869561021702283,137.0,g13
g13033,-0.3953109440920377,93.0,g13
g13035,-0.9022222494085632,106.0,g13
g13037,8.482490260563903,1.0,g13
g13039,-4.851624645795555,156.0,g13
g13043,1.8588749111398712,27.0,g13
g13045,-2.7056165475738423,133.0,g13
g13047,-3.663927942497013,146.0,g13
g13049,1.2647900648301755,43.0,g13
g13051,-1.8957916018938126,122.0,g13
g13053,-7.384389858153993,159.0,g13
g13055,0.9865671331320938,56.0,g13
g13057,-3.705435792620383,147.0,g13
g13059,-0.000150803482661388,83.0,g13
g13061,6.825416614375004,3.0,g13
g13063,-0.891574324258168,105.0,g13
g13065,0.7102945439174386,66.0,g13
g13067,-0.6871729417692332,98.0,g13
g13069,0.8769025404669744,57.0,g13
g13071,2.7874652317362907,16.0,g13
g13073,-3.226206557390495,143.0,g13
g13075,-0.15540990559000645,90.0,g13
g13077,-2.9780270217246527,138.0,g13
g13079,-3.1408271716718286,141.0,g13
g13081,0.12564390576810044,79.0,g13
g13083,-2.1211043043314013,126.0,g13
g13085,-2.322325774300343,130.0,g13
g13087,0.2966660657547868,74.0,g13
g13089,0.659908263169982,67.0,g13
g13091,1.1071408703916978,49.0,g13
g13093,3.5464170334111595,12.0,g13
g13095,-1.4190182819016277,115.0,g13
g13097,-4.128428889872514,149.0,g13
g13099,1.7113774017154468,31.0,g13
g13101,5.3361425024832165,6.0,g13
g13103,-5.3867682148966285,157.0,g13
g13105,0.24184645195412696,77.0,g13
g13107,1.0119426670022424,55.0,g13
g13109,1.2534800305681748,44.0,g13
g13111,-0.7823399295367577,100.0,g13
g13113,-2.4499400745965256,131.0,g13
g13115,-0.243559402392028,91.0,g13
g13117,-1.9030744257014323,123.0,g13
g13119,0.8558223769203744,58.0,g13
g13121,1.2027109716999895,46.0,g13
g13123,1.8431016253023471,29.0,g13
g13125,2.6369260111273487,19.0,g13
g13127,-0.9369889126645212,108.0,g13
g13129,-0.09409019696476509,87.0,g13
g13131,0.7272010645994547,65.0,g13
g13133,2.6582671686770656,18.0,g13
g13135,0.7895147813225152,62.0,g13
g13137,0.2795396438937107,76.0,g13
g13139,1.3696525680222436,39.0,g13
g13141,4.51644803646061,9.0,g13
g13143,-1.0540853019348193,111.0,g13
g13145,-3.287586885202577,144.0,g13
g13147,1.0427415079953335,53.0,g13
g13149,-0.9389795315027947,109.0,g13
g13151,-4.493352827064982,153.0,g13
g13153,-2.7896800659202277,136.0,g13
g13155,1.2430760832222614,45.0,g13
g13157,-1.9423110242562447,124.0,g13
g13159,-2.4702657296012127,132.0,g13
g13161,0.8261066391701058,61.0,g13
g13163,1.1007317136150876,50.0,g13
g13165,1.7947735061739352,30.0,g13
g13167,2.9144001673303737,15.0,g13
g13169,-2.7693547125531346,135.0,g13
g13171,-1.7187578882517676,118.0,g13
g13173,-0.8538883744994864,102.0,g13
g13175,-0.12227520416602689,89.0,g13
g13177,-3.8535159219558115,148.0,g13
g13179,-4.433820454301732,152.0,g13
g13181,0.845970691785005,60.0,g13
g13183,-4.34093016601317,150.0,g13
g13185,-3.0298674337323406,139.0,g13
g13187,-3.540049947652605,145.0,g13
g13189,-0.8119919343952039,101.0,g13
g13191,-1.8401860001741384,121.0,g13
g13193,3.264443114498952,13.0,g13
g13195,-1.5035190132035003,117.0,g13
g13197,3.204383972571908,14.0,g13
g13199,-0.9369105637065024,107.0,g13
g13201,2.177563671966742,21.0,g13
g13205,2.1234198427033735,23.0,g13
g13207,-1.5032641167337157,116.0,g13
g13209,1.3776497877756293,38.0,g13
g13211,-1.1169474875899064,112.0,g13
g13213,-0.3169378132202033,92.0,g13
g13215,-1.7194941910183856,119.0,g13
g13217,-4.810467218550363,155.0,g13
g13219,-2.1630737549705668,127.0,g13
g13221,-0.7792764427455774,99.0,g13
g13223,-5.698626691904428,158.0,g13
g13225,0.020111912561920242,81.0,g13
g13227,-1.7246056767440083,120.0,g13
g13229,0.48325125349663384,69.0,g13
g13231,-4.760040600992388,154.0,g13
g13233,0.4407233968287967,71.0,g13
g13235,1.0440898569570694,52.0,g13
g13237,1.0202045234452914,54.0,g13
g13239,0.6445264005917652,68.0,g13
g13241,2.471126901096614,20.0,g13
g13243,4.587608229784828,7.0,g13
g13245,-2.0073155130752074,125.0,g13
g13247,-2.76810889142201,134.0,g13
g13249,-0.053349881205479455,85.0,g13
g13251,0.3401268188716934,73.0,g13
g13253,1.494355728684665,35.0,g13
g13255,-2.2427711772965684,128.0,g13
g13257,-0.9642595716758663,110.0,g13
g13259,7.17617170792653,2.0,g13
g13261,1.1405792861878699,48.0,g13
g13263,0.13586201667799813,78.0,g13
g13265,3.695764373616505,11.0,g13
g13267,3.7350861376840427,10.0,g13
g13269,1.4914226402039132,36.0,g13
g13271,6.11112808088758,5.0,g13
g13273,1.963342032981905,25.0,g13
g13275,0.7584856723662826,63.0,g13
g13277,0.8519419846292026,59.0,g13
g13279,1.8591531467335618,26.0,g13
g13281,1.3670072407566234,40.0,g13
g13283,1.278140945182443,42.0,g13
g13285,-1.275782662181624,114.0,g13
g13287,1.0829367467607809,51.0,g13
g13289,1.6064889322584206,34.0,g13
g13291,1.845799655039713,28.0,g13
g13293,-0.6570851473705215,97.0,g13
g13295,-2.315106577203028,129.0,g13
g13297,-3.1552080828185685,142.0,g13
g13299,1.141178189544673,47.0,g13
g13301,2.7772882825433847,17.0,g13
g13303,1.6434054015352406,32.0,g13
g13305,-0.07962772844792326,86.0,g13
g13307,1.6066890142016783,33.0,g13
g13309,6.614070903039674,4.0,g13
g13311,-1.196493348758787,113.0,g13
g13313,2.133933277536491,22.0,g13
g13315,4.54145186549323,8.0,g13
g13317,-0.8571308360890306,103.0,g13
g13319,0.38215923521659434,72.0,g13
g13321,-0.40286868813488774,94.0,g13
g16001,0.07986858838780017,25.0,g16
g16003,-0.0705355399929393,27.0,g16
g16005,0.15249063458435394,23.0,g16
g16007,-0.17987559479132847,30.0,g16
g16009,0.42784362291203226,21.0,g16
g16011,0.0946763809994276,24.0,g16
g16013,-0.37938321595618135,31.0,g16
g16015,-0.13130740262277818,28.0,g16
g16017,-0.38729566146651606,32.0,g16
