,Label,Alias,Definition,Type,Domain,Missing Data Value(s),Missing Data Frequency
0,GEOID,FIPS code unique identifier,Unique code for every county and county-equivalent in USA,string,01001 - 56045,None,0.0
0,B01002_001E,median age,MEDIAN AGE BY SEX: Estimate!!Median age!!Total,float64,21.6 - 66.4,NaN,0.0
1,B03002_001E,total population of respondents to race/ethnicity,HISPANIC OR LATINO ORIGIN BY RACE: Estimate!!Total,int64,74 - 10105722,NaN,0.0
2,B03002_004E,total Black population,HISPANIC OR LATINO ORIGIN BY RACE: Estimate!!Total!!Not Hispanic or Latino!!Black or African American alone,int64,0 - 1226134,NaN,0.0
3,B03002_005E,total Native American population,HISPANIC OR LATINO ORIGIN BY RACE: Estimate!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone,int64,0 - 64102,NaN,0.0
4,B03002_006E,total Asian population,HISPANIC OR LATINO ORIGIN BY RACE: Estimate!!Total!!Not Hispanic or Latino!!Asian alone,int64,0 - 1442577,NaN,0.0
5,B03002_012E,total Latinx population,HISPANIC OR LATINO ORIGIN BY RACE: Estimate!!Total!!Hispanic or Latino,int64,0 - 4893579,NaN,0.0
6,B06001_002E,total population under 5 years of age,PLACE OF BIRTH BY AGE IN THE UNITED STATES: Estimate!!Total!!Under 5 years,float64,0 - 631911,NaN,0.0
7,B09020_001E,total population over 65 years of age,RELATIONSHIP BY HOUSEHOLD TYPE (INCLUDING LIVING ALONE) FOR THE POPULATION 65 YEARS AND OVER: Estimate!!Total,int64,12 - 1264984,NaN,0.0
8,B01003_001E,total population,TOTAL POPULATION: Estimate!!Total,int64,74 - 10105722,NaN,0.0
9,B25008_001E,total population in occupied housing units,TOTAL POPULATION IN OCCUPIED HOUSING UNITS BY TENURE: Estimate!!Total,int64,74 - 9929967,NaN,0.0
10,B25002_002E,total occupied housing units,OCCUPANCY STATUS: Estimate!!Total!!Occupied,int64,31 - 3295198,NaN,0.0
11,B25003_003E,total renter occupied housing units,TENURE: Estimate!!Total!!Renter occupied,int64,11 - 1782834,NaN,0.0
12,B25002_001E,total housing units for which occupancy status is known,OCCUPANCY STATUS: Estimate!!Total,int64,59 - 3506903,NaN,0.0
13,B09020_021E,total 65+ living in group quarters,RELATIONSHIP BY HOUSEHOLD TYPE (INCLUDING LIVING ALONE) FOR THE POPULATION 65 YEARS AND OVER: Estimate!!Total!!In group quarters,int64,0 - 35424,NaN,0.0
14,B01001_026E,total female population,SEX BY AGE: Estimate!!Total!!Female,int64,35 - 5126081,NaN,0.0
15,B11001_006E,total female-headed family households,"HOUSEHOLD TYPE (INCLUDING LIVING ALONE): Estimate!!Total!!Family households!!Other family!!Female householder, no husband present",int64,0 - 501596,NaN,0.0
16,B11001_001E,total households for which household type is known,HOUSEHOLD TYPE (INCLUDING LIVING ALONE): Estimate!!Total,int64,31 - 3295198,NaN,0.0
17,B25002_003E,total vacant housing units,OCCUPANCY STATUS: Estimate!!Total!!Vacant,int64,28 - 227426,NaN,0.0
18,B19025_001E,aggregate household income,AGGREGATE HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2012 INFLATION-ADJUSTED DOLLARS): Estimate!!Aggregate household income in the past 12 months (in 2012 inflation-adjusted dollars),int64,2421700 - 296088389400,NaN,0.0
19,B23022_025E,total males unemployed for last 12 months,SEX BY WORK STATUS IN THE PAST 12 MONTHS BY USUAL HOURS WORKED PER WEEK IN THE PAST 12 MONTHS BY WEEKS WORKED IN THE PAST 12 MONTHS FOR THE POPULATION 16 TO 64 YEARS: Estimate!!Total!!Male!!Did not work in the past 12 months,int64,0 - 736803,NaN,0.0
20,B23022_049E,total females unemployed for last 12 months,SEX BY WORK STATUS IN THE PAST 12 MONTHS BY USUAL HOURS WORKED PER WEEK IN THE PAST 12 MONTHS BY WEEKS WORKED IN THE PAST 12 MONTHS FOR THE POPULATION 16 TO 64 YEARS: Estimate!!Total!!Female!!Did not work in the past 12 months,int64,2 - 1134234,NaN,0.0
21,B23022_001E,total population for which unemployment and sex cross-tabulations known,SEX BY WORK STATUS IN THE PAST 12 MONTHS BY USUAL HOURS WORKED PER WEEK IN THE PAST 12 MONTHS BY WEEKS WORKED IN THE PAST 12 MONTHS FOR THE POPULATION 16 TO 64 YEARS: Estimate!!Total,int64,49 - 6837418,NaN,0.0
22,B17021_002E,total population below poverty level,POVERTY STATUS OF INDIVIDUALS IN THE PAST 12 MONTHS BY LIVING ARRANGEMENT: Estimate!!Total!!Income in the past 12 months below poverty level,int64,10 - 1688505,NaN,0.0
23,B17021_001E,total population for which poverty information available,POVERTY STATUS OF INDIVIDUALS IN THE PAST 12 MONTHS BY LIVING ARRANGEMENT: Estimate!!Total,int64,70 - 9955473,NaN,0.0
24,B25024_010E,number of mobile home housing units in structure,UNITS IN STRUCTURE: Estimate!!Total!!Mobile home,int64,0 - 86275,NaN,0.0
25,B25024_001E,total housing units in structure,UNITS IN STRUCTURE: Estimate!!Total,int64,59 - 3506903,NaN,0.0
26,C24010_038E,total female employed,SEX BY OCCUPATION FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER: Estimate!!Total!!Female,int64,20 - 2202734,NaN,0.0
